time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
1969/12/31/19:21:14.995000,247338,1274,995000000,firefly/imugt_link,1.03760131053e-07,-3.64133657191e-08,-0.757074845068,-0.65332815565,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.000451131765279,4.65272246534e-05,0.0113804504771,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.10224958196e-08,-2.0423888646e-08,9.80003165675,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:21:15.005000,247339,1275,0,firefly/imugt_link,1.0071338065e-07,-3.55445241699e-08,-0.757095602088,-0.653304101701,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.000448534053784,4.69167536601e-05,0.0113336436459,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.49745789304e-08,-1.60716897745e-08,9.80002510825,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:21:15.010000,247340,1275,5000000,firefly/imugt_link,9.72680967757e-08,-3.4616301632e-08,-0.757116281881,-0.653280135708,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.000449497737643,4.39979306894e-05,0.0112848635141,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-8.92783608185e-09,-1.17089189145e-08,9.80001764705,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:21:15.015000,247341,1275,10000000,firefly/imugt_link,9.34440527448e-08,-3.36369924322e-08,-0.757136884314,-0.653256257843,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.000444238458767,4.33433410543e-05,0.0112405311669,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.37967547602e-09,-7.90678140501e-09,9.80003858827,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:21:15.020000,247342,1275,15000000,firefly/imugt_link,8.92561692497e-08,-3.26126777611e-08,-0.757157409302,-0.653232468221,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.000446192713473,3.9495727227e-05,0.0111954874047,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.35954406144e-10,-4.13604976568e-09,9.80004725519,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:21:15.020000,247343,1275,20000000,firefly/imugt_link,8.47159243638e-08,-3.1547488497e-08,-0.757177856801,-0.653208766912,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.000445389892937,4.10400429549e-05,0.0111483132175,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.64181970446e-09,-4.14124131185e-10,9.80004866776,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:21:15.025000,247344,1275,25000000,firefly/imugt_link,7.98321338571e-08,-3.04440532433e-08,-0.757198226789,-0.653185153956,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.000444326140749,4.49341947743e-05,0.0111017410261,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",9.16310547217e-09,3.26833094237e-09,9.80004601463,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:21:15.030000,247345,1275,30000000,firefly/imugt_link,7.46346684229e-08,-2.93055591484e-08,-0.757218519187,-0.653161629461,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.000440370242046,4.01777773739e-05,0.0110587393801,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.22841405625e-08,5.86175412818e-09,9.80005659101,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:21:15.035000,247346,1275,35000000,firefly/imugt_link,6.91500249655e-08,-2.81349109121e-08,-0.75723873393,-0.653138193521,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.000440855980545,4.00941821163e-05,0.0110090320934,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.51180984957e-08,8.24839806177e-09,9.80006442347,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:21:15.035000,247347,1275,40000000,firefly/imugt_link,6.34121847807e-08,-2.69246860597e-08,-0.757258870959,-0.653114846221,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.000442433814846,3.72926746482e-05,0.0109591143454,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.75991522915e-08,9.34296367848e-09,9.80007059407,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
